Comment,Factor,Sentiment
question coz doctor concern society mother sister politcs development ahead,Government,neutral
question fighter akash bengal,Firecrakers,neutral
truly blessed content ensures unbiasness hopefully good people take charge country bring change thank akash bhai,Location,positive
definitely question govt today politics rising level prove disaster u future generation,Government,negative
question ask done country state u,Location,neutral
pls encourage people use public transport,Location,neutral
pray well people getting affected air pollution 32,Location,negative
love bangladesh explanation,Location,positive
sir bhot ghusse hei question,Citizens of Delhi,neutral
caqm said punjab reduced farm fire 50 however enough atleast logically neutral channel like really provide government put pressure non performing gov,Government,neutral
question ca,Firecrakers,neutral
maturity realise every banarjee modi enemy,Stubble burning,neutral
sir always question thing ache heart matured educated individual get basic idea actual versus get start talking real issue really upset thank episode entire deshbhakt team someone thank,Stubble burning,negative
last 60 second goosebump delivered like srk jawan hope day politician inner self react people betterment good air breathe u coming generation basic pain see current situation,Location,neutral
visit delhi 10 day honestly dreading every time return come continue raise voice continue question demand better quality life,Location,negative
question questioning throughout life already pretty used,Location,neutral
many snake blame elvish,Location,negative
question never commented video till date horrible situation delhi forced write today youtubers like reach common people think please initiate movement via platform allow common people voice concern believe frustrated akash sadly many sure voice concern,Citizens of Delhi,negative
benefit questioning govt simply bcoz r answerable u already enough brainwashed uneducated citizen heck brainwashed educated ppl supporting minority asking genuine sophisticated development one,Government,negative
akash bhai question,Citizens of Delhi,neutral
waiting city bjp ruled state uncle would done ayyeee oyeeee,Location,neutral
question much needed video sir,Location,positive
always ask question one u one actually want bring hind jai bharat,Location,neutral
support issue,Government,negative
prai likhai certificate ke base pe krwao jha sirf certificate pane ke liye ratta mare sochne smjhne ka smta khtm krdo mentally physically weak society bnao jhape dosh agar sarkar krevi thh koie kuch na bol sake yehi napunsak smaj caheye na taki koie kuch bole kuch na sune bs order follow kre,Stubble burning,neutral
question baat sahi hai action kon le yahan sunta kon hai bolker kya fayda isliye shayd nahi bolte,Stubble burning,neutral
question sir,Firecrakers,neutral
want correct detailed study pollution delhi iit delhi published 2022 yeh sab milke humko bana rahe hain,Citizens of Delhi,neutral
one best video 2023 akash sir deshbhakt,Citizens of Delhi,positive
question keep questioning country government come u,Government,neutral
always questioned everything n l n,Firecrakers,negative
question great job man,Firecrakers,positive
sad reality politics india care fake promise question,Stubble burning,negative
andhbhakto ki aatma degi agle saal vote party,Location,neutral
one way question govt introducing right recall country see one year two year pull govt idolising politician another reason dont question expectation set low bad road dirty hospital dirty environment etc become way life,Location,negative
ues,Vehicle emission,neutral
construction going around u police come night morning construction start,Location,neutral
question one best episode deshbhakt till,Firecrakers,positive
question also,Firecrakers,neutral
question everyone everything including get answer implement right away else nation planet definitely doomed,Location,negative
questioning moreeeee,Firecrakers,neutral
understand ppl dont care either laziness ppl tired busy life dont mental energy question thing fact normal person ca even live life properly student adult busy problem,Location,negative
next video bihar reservation increase problem,Location,neutral
agar hamare annadata samajh jayen ki doosron ke alawa khud unki sehat bhi kharab hoti,Location,neutral
definitely question way court room,Location,neutral
govt made rule home 1 car 1 bike automatically air pollution traffic jam reduce india,Government,negative
worry banarjee ji people mother sister even know end near future apne maalik se laat khaana hai unhe ek din,Location,negative
question live mumbai immune pollution cuz wind arabian sea wind carry dust particle government project like costal road metro line well follow regulation dust management gov saying well add purifier instead adding regulation,Government,negative
question morebut listening like listen rant listening difference made governance many year blood pressure stress another reason brain drain people choosing stay away culture land family friend live normal mai hindu dekho kisi muslim aawaaz uthaadi ye 2 kaudi k keyboard warrior kya karte hopeless feeling helpless,Government,negative
congress ka,Government,neutral
abe madarch 70 stubble burning happening aap blamed,Stubble burning,neutral
often wonder politician bureaucrat living ncr worry health inhaling pollution co pollution effect everybody living take effective measure curb issue hit delhi every year le throughout year arey bhai jab saaf hawa hi nahi hogi toh baaki kya hi karloge lad lada kar hope everyone stay safe n question,Government,neutral
question really want appreciate unbiased journalism try make shirt based question love,Location,positive
north east india assam u sir,Location,neutral
sari terfik polis delhi polis seb modi ke haat hai kentrol kon ker reha hai terfik polis ki kemai kitni bed gei wo bi nemder ki,Location,neutral
editor,Location,neutral
great comment,Firecrakers,positive
questioning govt would take action,Government,neutral
thank making one since last year mumbai winter used look forward stopped good many time mumbai surpassed delhi aqi level mumbai rampant construction work without following norm laid bmc one major contributor year already lost one week productivity due sore throat due pollution level builder selling u choking u money minting politician huge cut project end paying higher price health bombay hc come direction sadly hear political leader making appeal burning money make video india water crisis niti aayog report year back alarming read report international magazine face anti india comment,Location,negative
pahle parali bolte punjab aap wale,Stubble burning,neutral
child home school bus parent wont use vehicle drop child school,Location,neutral
question feeling sad delhites worried future generation salute deshbakt family raising issue,Citizens of Delhi,negative
mai ye soch raha hu ki delhi ko sahi kon karega agar sahi karunga kese,Citizens of Delhi,neutral
question government,Government,neutral
want question going listen another end politician vomit want vomit bureaucrat official responsible work become puppet political class whats solution one answer ask question,Government,negative
sooo true thought feeling soo much pollution since past 5 year sorry say ca see difference arre yaar saans lene hai,Location,negative
question although always question irrespective party power,Firecrakers,neutral
matlab modi hatao,Industrial emission,neutral
bhai bolne ka koe fyda nhi janta chutiya ha aur raja samaj sa niklta ha,Location,neutral
work home best option among others,Location,positive
delhi petrol diesel ke price high kardo state ke comparison,Location,neutral
aap arvind kejriwal jai,Citizens of Delhi,neutral
questioning way bring everything track irrespective party govt,Government,neutral
ok happen write question next thing people india question government feel government god whatever decision making follow let take ask question pressurise answer take action laugh democracy democracy government make rule people good people parliament legislative assembly,Government,neutral
opinion reuse straw various way like brick construction road construction etc,Location,neutral
ba pese kama kar delhi chhodna hai,Location,neutral
worth questioning nowadays think one give damm,Location,negative
question bhai aaj kal k news channel se khass behtar aur saccha hai apka channel aur aajkal ke logao ko sacchayi kadvi lagti hai,Location,neutral
salo sirf tumhe 500 kilometre door punjab hi dikhai deta hai jabki sari bimari ki jad tumhare gande hindu teohar hai jinme dusehra month main hai kitni atishbazi fire work hota hai kuchh andaza hai iske baad diwali joki polluted tehohar hai tumhara tumhari abadi china ko peeche chhorh chukki hai salo polution nahi kya hoga sadko pe wahan zeyadatar purane chalte hai desel petrol se nya wahan 1000 se ek khreed sakta hai baki ke paas khane ko nahi per chadna sirf punjab ke ghante pe hai tumko,Location,neutral
fan excellent unbiased video agree delhite open eye start raising voice pollution,Citizens of Delhi,positive
jawan jab release hua tha tab kejriwal ne khub uska faida uthaya ki sarkar aisi chuno jinse aap sawal kar sakte ho aaj wahi chup baithe hain agar ek padha likha cm se kuch nahi ho rha tab toh saach mein yeh desh abhi filhal delhi seher gaya paani mein yes like said question,Citizens of Delhi,neutral
definitely outrage regarding every year thing people grown forgetting caring thing religious question every government responsible also part spreading pollution,Government,negative
lac 2 crore job saab jumla tha modi ak jhutha feku jumlabaaz dangabazz hai,Location,neutral
people link vedio diwali,Vehicle emission,neutral
bro becoming pro,Firecrakers,neutral
shall question n share,Firecrakers,neutral
ban rice production punjab switch crop,Farming practices,negative
abe chutiye panjab ka farm fire sirf teri delhi hi ghusa h na chandigarh ghusa na himachal na hi pados k hariyana kuch soch k bol kuch bhi bakchodi kr diya b,Farming practices,neutral
akash amazing,Firecrakers,positive
gov research kar ka baa farmer ko bata de ki kon sa farming karna chiya farm fire ki condition nahi aaya gi,Farming practices,neutral
toh kya new year cracker sahi hai,Firecrakers,neutral
acha hai mein meghalaya seh hoon,Location,neutral
air pollutionnoise pollutionwater pollutioncorruption pollutiondogla rajneeti pollutioncapital india right capital pollution bhara para hai,Location,negative
question thedeshbhakt,Citizens of Delhi,neutral
aapki video tho jawan movie ko bhi fail karde,Location,neutral
questioning,Firecrakers,neutral
aare par medium kh rhi thi israel aur palestine pr focus kro,Location,neutral
rahul gandhi become pm in2024,Government,neutral
promise ask question,Firecrakers,neutral
believe issue watching khan sir video found video suggestion watched found genuine creator jst like khan sir n subscribed ur channel time found u r jst one ppl blindly support opposition nd way issue start blaming modi govt n hardly support decision support party jst genuinely want get proper info jst khan sir provides unfortunately r called journalist like u n called journalist support pm modi blindly n u call godi medium n look haha wht call raga medium arvi medium,Government,neutral
team expert air pollution get critical issue resolved within short span time provided recommendation strictly implemented govvts india welcome india die due polluted air,Government,positive
tell lie pollution happened due diwali,Citizens of Delhi,negative
rather putting ban bursting cracker sc banned production sale cracker,Government,negative
wiil question,Firecrakers,neutral
w q,Location,neutral
question continue,Firecrakers,neutral
free food free free fresh air de de bhai pm cm,Firecrakers,neutral
definitely question,Firecrakers,neutral
know farm fire data manipulated central,Farming practices,neutral
question issue serious,Government,neutral
great video,Location,positive
pollution ke liye bhi muslim zimedar,Vehicle emission,neutral
thats going people delhi still burst cracker,Citizens of Delhi,neutral
sawaal banta h,Location,neutral
question everyone understand otherwise country better one day everyone come together take decision,Government,neutral
question everything question,Firecrakers,neutral
question wo corrupt casei exploit anything unfairly,Location,negative
sir 1 video request reading comment increased power cut new delhi would love honest unbiased opinion hope reach 100 million sub,Location,neutral
question definitely,Firecrakers,neutral
video i farr better news channel,Location,positive
question deserve,Firecrakers,neutral
best video good analysis,Location,positive
question always,Firecrakers,neutral
government care nation environment see opportunity fine normal people get money saw opportunity tell world citizen working matter working people abiding rule thrown without question like caged house child able go play study happening one vehicle happening government lack concern industrial pollution giving farmer equipment need rather freebie,Government,neutral
wonderful analysis session environment protection industry would pay political party buying electoral bond asking regulation legislation get environment directorate curb mining menace many polluting activity,Government,neutral
love work,Firecrakers,positive
pollution department every state sadly corrupt department action taken form money,Vehicle emission,negative
faultu ka content create kara hua ki baat hi nahi h,Location,neutral
jaha bjp nahi h waha opposition har galat kaam k lie jimmedar h,Location,neutral
extremely sad environment get much traction india great work,Location,negative
thank episode learn much video,Firecrakers,positive
continuously including unrelated content delhi air pollution video make sense notbandi lockdown ko explain stay topic,Citizens of Delhi,negative
nothing fact,Location,neutral
isko funding bahut aati hai,Location,neutral
question uncle wo let leave world making easy way others,Location,neutral
nice,Firecrakers,positive
fossil fuel run vehicle must completely banned punjab haryana delhi blame firecracker pollution cracker burst 365 day year although cracker banned,Vehicle emission,negative
delhi air index 500 1000 ghaza 82,Location,neutral
increase awareness among people ill cause pollution wonder people become le sensitive towards,Location,negative
yes strongly agree question directly centre state gov corrective preventive action taken regulate pollution thank thedeshbhakt raising issue subho bijoya akash sir,Government,neutral
watch environment episode fully understand bitterness wish question govt busy tired living life delhi always reminder country may end like delhi role model save becoming like delhi soon one kid pa kind world full suffering want,Government,negative
north india danger,Location,negative
people day forgotten come street fight cause,Location,negative
agree farm fire primary reason every year time happens worsens diwali due cracker pollution state central government chip fund help farmer try option,Government,negative
yes question really appreciate work akash,Firecrakers,positive
ka aapke studio hota bohot acha lagta ki ak sahi jagah par hu news chhenal jane se acha aapke vaha aa paye,Location,neutral
mai tamilnadu hoon yahan yeh problem nahi phir question rajdhani ko bachao,Location,neutral
question possible one know response behind much polution,Vehicle emission,neutral
wow deleted comment whah,Location,negative
desi deshbhakt,Citizens of Delhi,neutral
aakash bhai 1 nobur ham aap ko news dekh na pasnd karenge desh logo ko samaj aayega ki padhe likhe log news aa rahe hai aaj kal ke news vale bhakti mast hai ak party ke,Location,neutral
question morevery sad see situation time raise voice serious issue,Location,negative
question excellent episode akash hat entire crew kudos thedeshbhakt,Citizens of Delhi,positive
right questioning right,Firecrakers,neutral
ek jagruk bhartiya hone ke naate question,Stubble burning,neutral
question sadly party courage say give vote make nation,Stubble burning,neutral
adani get contract ca given parali contract haryana,Location,neutral
question facing similar circumstance mumbai though reached level danger think reach soon policy implemented scared health future generation,Location,negative
question one could understand seriousness situation play ugly politics thing would different live country politics bad word made clear embedded deep root addressing rape attack victim pollution seen everywhere cross hand saying party fault fault unless take consideration sadly nothing going change andaman nicobar island kid always wanted move city cost lung sadly wired way unless law made cost penny pocket going change hightime also wanted congratulate deshbhakt amazing work ignorant citizen people cleaned lens perspective think nation party propaganda cheer deshbhakt akash big fan,Location,negative
question pretty sad see sad state country capital every year need change rather following elected leader rule see question policy logic,Location,negative
obviously bhartiyans blame huge population still many people aware criminal corrupt politician supported huge number people know politician evil person still support thier interest every bhartiya politician came counyr crowd single foreign man ruling country hence people bharat responsible situation,Location,negative
flood punjab macher darwaje pe hai koi opye btae bhagat baner gi,Location,neutral
wah kya baat hai aag khi par pardhushn khi par,Location,neutral
yeah sadlyi question failure govt look,Government,negative
based understanding county population tend ask question take initiative unless issue directly affect personally people often remain silent problem reach doorstep however come addressing pollution problem primarily responsibility government find solution furthermore government make request citizen often go unheeded strict rule associated fine potential prison sentence imposed case addressing pollution similar approach may necessary,Government,neutral
hey thedeshbhakt call farmer know poor fact fact bringing issue bundle everything criticise reporting,Farming practices,negative
resident delhi understand condition iwillquestionmore,Citizens of Delhi,neutral
great question behalf health sake questioningdeshbhakt,Citizens of Delhi,positive
question absolutely right instead playing blame game govt identify main source pollution act banning cracker day two solution keep posting video like thanks,Government,neutral
akash g i video ka ad vimal ka aya pura dekha aj pehli baar aur fr video b,Location,neutral
another good one ab society misplaced priority eventually later playing visible personification faltering political space wear always,Location,negative
brutal,Location,negative
see frustration voice ala use unless question,Stubble burning,neutral
air pollution also water pollution noise pollution nobody care government policy curb pollution bs6 good move long run immediate fix required delhi stream water safe cause waste untreated water dumped straight loudspeaker blaring music ganpati ambedkar jayanti urus christmas outside hospital people blowing horn street like anything dumb dumb much population ahead everyone world come curbing pollution even considered problem need significant infrastructure development right direction instead giving freebie win election stop freebie politics work development support modi blunder better least something,Government,negative
question till death,Firecrakers,neutral
yes sir question,Firecrakers,neutral
question listen normal people voice,Citizens of Delhi,neutral
question government,Government,neutral
deshbhaqt raise critical point limited criticizing aap delhi punjab government ca find consensus thankfully time diwali cracker blamed,Government,negative
want ashamed front next generation ask time say fighting licking as government,Government,negative
vehicle ban india,Vehicle emission,negative
pollution k bahane anti bjp video bana raha chomu fir se focus delhi punjab government,Government,negative
small irony even video ended blaming people yes blame legit cause people power change thing around whole idea democracy revolves around thumb rule people question betterment,Location,negative
well said question,Firecrakers,neutral
sad see heading country everything seems falling apart still large section society able understand real problem side working towards betterment upto extent teaching people around hope understand someday thanks akash descriptive video serious concerning subject yes question,Location,negative
question starting family society,Location,neutral
central govt ne band karwa di study,Government,neutral
question moretruly terrible condition right gujarat chemical industry running polluted even able breathe good air,Industrial emission,negative
question akash sir thankyou much making vdo topic bihar took admission du 3 month back already much stressed condition seeing much pollution literally cry regretting decision coming asking question people ghat govt,Government,negative
ye band hai wo band hai ye mat batao bhaiya kejriwal ne 10 saal kya kiya ye batao ye chutti wo chutti mat batao,Citizens of Delhi,neutral
polution ka koi solution nahi hai,Government,neutral
last 2 minute ka rant maza aaya aakash,Location,neutral
question support deshbhakt,Citizens of Delhi,neutral
question jada kar dene se cell wale aa jate kya karein,Location,neutral
bhai tu kitna bhenka lauda hai phle narrative build karta hai fir bhitu kejriwal ki bejati nahi kar sakta,Citizens of Delhi,neutral
protecting,Government,neutral
brilliant analysis mr banerjee always great work,Firecrakers,positive
question knowing one answer,Firecrakers,neutral
yes saare milke hamko pagal bante madarchod ke bache,Location,neutral
question becomes audible,Firecrakers,neutral
punjab think data wrong lot le fire farmer causing farm fire fined dc,Farming practices,negative
bhai air purifier jo kejriwal ne inauguration kiya wo band hai aur topic pollution tha iske bich berojgari aur notbandi kaise aayi ajib dogla aadmi hai,Citizens of Delhi,neutral
question episode show u future next generation hatsoff sir raised voice,Firecrakers,neutral
yes question normal brain always asking side administration ko ghanta fark parta hai,Government,neutral
trump said india filthy,Industrial emission,negative
minority mean,Location,neutral
question possibly everything,Firecrakers,neutral
population india need reduce main thing focus explain smaller population mean le mouth feed go le people mean quality opportunity le competition meaning better work pay benefit small work pool applicant 1 small community likely stick together large population meaning harder divide easier people stand together real estate market improve le crowded feel le claustrophobic especially big finally last least topic video le people mean le pollution go country low population hell go village india many people see difference need curb population somehow country astonishingly high population boom especially since early 2000 good country people india surpass china think might already population problem need dealt everyone keep suffering one way,Location,neutral
punjab govt invest reducing farm burning central government giving money haryana rajasthan non repariain state giving nothing punjab water using money come build bank beas river seen flood punjab state money construction river bank state help farmer provide technology equipment moreover happened ethanol project use prali creat oil blaming easy providing solution tough,Government,negative
excellent analysis also liked suggestion initiate problem solving,Firecrakers,positive
question jawab mein jumla ya milti sirf tareekh hai,Farming practices,neutral
fake politics completely going destroy future well india seriously pollution serious politician blame people pollution never blame big industry feed money question,Industrial emission,negative
isase achcha treat plantation kar dete,Farming practices,neutral
question politician fucker even bothered listen common man thing matter hard scream bring change nothing going change nobody intent improve thing voter country equally disappointed political party option,Stubble burning,negative
question question everything questioning people question anything told question home school unbiased raw deshbhakt deshbhakt,Stubble burning,neutral
question bitter truth passive citizen question minister policy,Stubble burning,negative
agree u brother question mind set like ke book,Location,neutral
fode janta aur gaali sune neta ye kaise democracy hai ulta chor kotwal ko dante,Location,neutral
question kisi ko ghanta fark na pade,Stubble burning,neutral
true rofl,Firecrakers,neutral
simple saa solution tha iska electronic car banate pollution khud kam hota lakin politics kabi aasa nhi karegii,Vehicle emission,neutral
brother stupid frog want change option change atmosphere education system hee kar sakte hai time itna road par de nahi sakte ki dharna kiya jaye kiya jaye kesa jo hamko suna jaye desh mai badi bhasad hai bhai agree happy deepawali,Stubble burning,negative
hello akash ji regular viewer program generally agree argument put forward various issue appreciate amount research topic time feel missed mark seem implied stubble burning major maybe even reason delhi pollution case stubble burning last straw break camel back base level delhi pollution ready quite high smoke stubble burning push edge delhi pollution come vehicle industry also seemed imply government making rule address issue done enough blame government issue think issue quite complex government alone solve problem let elaborate major option given expert combat vehicular pollution make public transport available delhi always good public transport moreover metro added getting expanded even still enough amount population people buying car record number many car travel alone car government put ban many cras one many people travel car buy petrol guzzling big car eventually lead pollution maybe need cooperation people rule happened diwali cracker ban supreme court anybody listen ban construction activity one construction neighborhood stopped way government make rule one listen case government make rule might affect livelihood people example simply ban diesel truck enter delhi affect big mostly small business depend good supply truck large part delhi pollution also come coal burning tandoor small big resturants government ban coal burning body care ban lastly even rule religiously followed amount population amount pollution delhi make difficult pollution level come good might take year even decade solve problem,Stubble burning,neutral
question deshbhakt,Citizens of Delhi,neutral
last year diwali pollution coz stubble burning start ni huyi propaganda failedthis time diwali stubble burning etc ka pollution hi khtm hogya i baar bhi propaganda mujhe bjp bhakt mt bolna jaahilo mujhe sinus hai ek hafte pehle ghar se bahar bhi ni nikal skta tha aur i baar patake fode soprem coult ke aadesh ka palan krne ke,Stubble burning,negative
500 se jada log mare morbi 140 kaha se aye kam se kam fact bol,Location,neutral
definitely question,Firecrakers,neutral
party working decreasing pollution data yeah working slowly like really slowly,Location,neutral
initially thought time u gon na go central govt usual u extremely balanced,Government,neutral
put noida drive honda city diesel bs4 grap 4 guideline came november 2 since driving car unfortunately noida police already sent challan 12000 driving 27th october 6 day grap 4 came government insensitive towards common man ek toh 10 saal hi validity rakho upar se har winter mai ban upar se challan,Government,negative
question good job akash keep support,Government,positive
shift industry delhi madhya pradesh chatishgarh jharkhand bihar pollution reduce,Industrial emission,neutral
journalist medium everybody blaming kejriwal pollution pollution whole country delhi contributes 20 pollution rest coming ncrs dare question khattar yogi easy propaganda put everything kejriwal whereas one taking effective step curb appreciation rather questioning center modi r questioning kejriwal pm country responsible pollution throughout nation shame medium guy whether online tv nobody spine question supreme leader despite knowing everything kudos kejriwal running away responsibility taking question leader,Location,negative
questioning also future smog incident must take place whole india thousand tree cut everyday name development worst part central government environment ministry diluting environmental law like forest conservation act 1980 amendment 2023 exempts environment clearance monoculture palm plantation specially palm oil eco tourism project construction zoo development project along 100 km international border etc,Government,negative
respect question,Firecrakers,neutral
living delhi leave politician impotent anything still remember adding fresh water yamuna reduce pollution,Citizens of Delhi,negative
unbiased peak respect,Firecrakers,neutral
andhra pradesh se hoon poochun toh ki se poochun sawal karoon toh ki se karoon bhayya hamne rti file kiya huaa hai ek vishay par aaj tak uska jawaab aaya nahi concern department se hame kon jawaab dega sab neta log desh ko lootne pade hay,Location,neutral
important issue,Citizens of Delhi,neutral
legend like desh,Citizens of Delhi,positive
punjab govt helpless front farmer putting fire seamlessly causing hazardous situation,Farming practices,negative
throat pain day pollution ok n,Stubble burning,negative
delhi walo ko free free,Location,neutral
madam chod baat kisi par bhi ho par ghum phir kar modi bjp par aa jaayega phir kehta hain ki main neutral hu,Location,neutral
bharat ke lie pakistan chaina se bhi khatarnak jo h vo ye rajniti krne vale neta h kia hua h sab kam kharab,Location,neutral
wamt bring fact let government hear sound failure,Government,negative
ye kesha video bana diya ab hater ko aap ka agent kesey bolen,Location,neutral
awesome,Firecrakers,positive
question hii akash anirban ghatak west bengal tendency verify everything asking kind question available possible habit mine since childhood reason criticized well mocked however contine questioning till end utmost importance create healthy akash effort always appreciating work,Location,neutral
question kudos episode,Firecrakers,neutral
dil jeet liya aaj apne question paji stay strong god bless please change type benifit,Location,positive
delhi govt fild,Government,neutral
kill hindu deshbhakt save hindu andbhakt,Location,negative
polution ke liye pakistan zimmedar hai,Vehicle emission,neutral
report pollution control blaming kishan vehicle owner main pollution creater factory emits time polluted particle air one night equal drained jamuna one compete mention sentence stop massacre regular basis,Vehicle emission,negative
appropriate,Location,neutral
criticize everyone one offended,Firecrakers,negative
anybudy comment section please try burn le le cracker devali make air good breath,Firecrakers,neutral
question situation nothing le pandemic,Location,neutral
much needed episode lived delhi many year till recent relocation experienced horrifying pollution every year time year realise difference also easily accepted way life capital indeed collectively question,Citizens of Delhi,negative
question akash problem voice reach high authority hear sound bcs become deaf power chair people try raise voice,Location,neutral
thanks god live andaman,Location,positive
question moreyou great job akash know nowadays people becoming bhakt think become responsible citizen first ask question responsible government,Government,neutral
homo sapiens living thing intelligent fully developed brain system earth pollutes intelligently argues favor choking,Location,neutral
granted question,Firecrakers,neutral
yes question,Firecrakers,neutral
need stop construction activity season dust coming air construction well roadside india roadside loose earth pucca vehicle plying high speed overtaking kachcha patch roadside loose dust come air air tight cold season without wind blow rain clear dust,Location,negative
364 din ye log polution door nahi kar paate bachhon ke ek din pataakhe bajaane se polution hota hai wah ji wah kitne logon ke dhande band ho gai bewakoofi ke kaaran kabhi socha hai kehte cng fir electric gaadiyon se polution kam hoga electric gaadi ki se charge hogi aur electricity ki cheez se banegi koyle se aur koyla polution karega apni jeb bharte hain tax ke naam pe bda wala c bna rakha hai public ka,Location,neutral
akash sir sulphur potassium chloride reason rapid increase air pollutant thing dangerous child used child place question,Location,negative
start putting blame others everything one u planted tree near house stop unnecessary lavish construction rainwater harvesting use solar energy light home make office building without using glass exterior clean outside compound home carry water home prevent lot issue faced u different part country first bit,Location,negative
karnataka quainton,Location,neutral
ca agree view genuine lastly question,Firecrakers,neutral
hilarious childish taking sprinkling water pollution control measure like shopkeeper sprinkle water morning let dust spreading later,Location,negative
let government official share vehicle set example make private establishment follow,Government,neutral
thank questioning delhi government care power deshbhakt see capital engulfed pollution feel fine,Government,positive
excellent factual content akash bhai yes question,Citizens of Delhi,positive
november apne apne gao village chalejaya karo 15 dino ke liye sans leni hai fresh,Location,neutral
politician much qi aqi type situation immediately convoy vvips checked,Location,neutral
delhi polution ka reason population hai uttar pradesh se bht berojgar log delhi shift ho rhe hai crime bhi yhi k log krte hai jyadatar facility lene delhi aate hai ye log,Location,neutral
ever get chance talk,Location,neutral
bhai sach apke dil gussa dikh raha hai video dekhne ke baad mujhe bhi gussa aa raha hai ye sarkar ki nakami hai,Location,neutral
hat akash bhaiya ki apne hmare soye hue insan ko jaga rhe ho,Location,neutral
everything correct lekin akash bhai also consider common people unnecessarily contribute mean know people bike home office well connected good public transport still drive car get office even though office like 2km home,Location,neutral
want question actually ask going answer really reach concerned person something,Firecrakers,neutral
pollution problem central state govt sit together give alternative rice economical stability farmer punjab rice farming main source income also main reason cancer pollution water scarecity,Government,neutral
question ultimate till political dakku bahi hardum modi ko troll karne ka koi faida nahi guru aaj jo baikaiti ye online kar rahe aap ye bhi ambani modi ki scheme hai jispe aapka pura sansar hai kuch tho accha modi ne kiya hi hai bhakt guru jee hate left communist levelbut love watch video bahi please aapne aap ko aap u maat bolo,Stubble burning,neutral
absolutely right sir question people government watching video people could understand mean scapegoat always,Government,neutral
dalal phir aaya dalali karne bhadwa,Location,neutral
farm fire truly terrible term farming practice crop nutrition well essentially destroying plant nutrient present within crop stubble could returned soil crop would uprooted buried back soil decompose turning fruitless smoke ash wasted nutrition previous crop spend money buying fertilizer would eat profit getting delayed sowing rabi season,Farming practices,negative
goat ko dekh kr aapki political evolution wali shirt ka matlab samajh,Location,neutral
population co2 emission hope collected data appreciate effort seen one talking population please look biggest reason pollution yes also non vegetarian diet also responsible please,Location,neutral
aqi 50 repressnts good quality 300 represents hazardous air recorded aqi delhi environment worse many issue show leader incompetent inconsiderate common citizen india,Citizens of Delhi,negative
question reply ayga itna problem h pak chale ja,Location,neutral
question shame national capital world polluted city,Location,negative
question questioningdeshbhakt,Citizens of Delhi,neutral
question action taker probably may life style hygiene cause due pollution also waste management waste time due respect akash bhai brave bold personality hat constantly striving still standing like invictus,Location,neutral
question sad see government banned 10 year 15 year old car hard believe understand easy pers save lakh rupee buy car one fine day government simply announces new law put ban,Government,negative
delhi pollution 40 panjab pareli jalnese 28 vehicle se 18 construction se 2 diwali faircrack se sc ne banned kiya diwali fire crack ko i beshbhakt bridge blackmoney car leke pare hain log inko sabbasi de rahe hain saram karo budhhibaan,Vehicle emission,negative
true akash sir measure taken handicap government enviormental pollution issue going kill sad true aam aadmi bjp party would say party kah joh bhi vikas ho rha hai woh sirf liquor policy meh hi ho rha hai,Government,negative
question blame game need stop central government state government need collaborate combat problem thank making unbiased video topic,Government,neutral
question respect,Firecrakers,neutral
question going solution act come forward air pollution climate change,Firecrakers,neutral
comprehensive reporting pressing issue highly appreciated crucial confront substantial challenge like pollution national capital surrounding area increase awareness actively seek resolution appreciate way incorporated factual data pinpoint root problem establish task ahead domain extensive sincerely wish hope political party across northern region collaborate unison address issue consequence affecting vulnerable also making matter concern u,Citizens of Delhi,neutral
capital declared uninhabitable year year condition deteriorated yet concrete step state center reaction shielding backlash said completely true able ignore issue people country dont give damn issue,Location,negative
bhai delhi mein badi badi factory bhi hain unka bhi naam lo,Citizens of Delhi,neutral
kejriwal hai toh mumkin hai,Citizens of Delhi,neutral
ek number question,Firecrakers,neutral
ganga hui saaf plastic ka use kaam hua open sewage bandh hue pollution kyu ghatega ki k liye politician ko kuch farak nai padta apan mare ya jiye aur ye u v chalta aaya hai aur chalta aayega karo pure dinn ye aur fir jaab desh rehne k liye battar ho jaaye uthana ungli ek dusre pe mai ahmedabad se hu humare yaha jhaad hi nai hai jo usko bhi kaat k foot path bana di aur thelewalo ko rent pe de diya kuch nai hoga deshbhakt tumare ye video se banate rehna aur hum sunte rahenge aur politician haste rahenge,Location,neutral
people use public transport like metro car think see problem solved,Location,neutral
never experience life thankful parent living village breathing properly could imagine inhaling posion,Vehicle emission,negative
farm fire pollution pakistan se bhi aata sarhade air ko ton nhi rok sakti uska bhi kuj hona chahiye,Farming practices,neutral
